23;CABALLERO;"96'11""";4,298;2,172;1,013;;;;;;;15.30;0,95;0,05;;;
3;TAGLIAFICO;"96'11""";10,399;5,612;2,674;0,60;;0,39;;0,09;30;27.43;0,65;0,27;0,06;0,02;
5;BIGLIA;"54'21""";6,036;3,536;1,569;0,59;;0,26;;0,04;5;25.56;0,63;0,31;0,05;0,01;
10;MESSI;"96'11""";7,617;4,722;1,42;0,82;;0,52;;0,06;17;25. Feb;0,83;0,13;0,03;0,01;
11;DI MARIA;"76'03""";7,918;4,641;1,708;0,77;;0,56;;0,08;25;29.23;0,69;0,25;0,03;0,02;0,01
13;MEZA;"84'49""";9,239;5,352;2,089;0,71;;0,49;;0,09;34;27.90;0,65;0,27;0,06;0,02;
14;MASCHERANO;"96'11""";9,771;5,337;2,64;0,60;;0,19;;0,01;22;29.48;0,66;0,28;0,05;0,01;
16;ROJO;"96'11""";9,529;5,215;2,435;0,41;;0,13;;0,06;24;27.00;0,70;0,23;0,06;0,01;
17;OTAMENDI;"96'11""";9,542;5,03;2,366;0,45;;0,12;;0,06;21;27.90;0,68;0,25;0,06;0,01;
18;SALVIO;"96'11""";10,216;5,73;2,656;0,56;;0,32;;0,02;39;31.72;0,65;0,27;0,05;0,02;0,01
19;AGUERO;"96'11""";9,313;5,449;2,048;0,81;;0,59;;0,18;27;27.68;0,71;0,23;0,05;0,01;
;;;;;;;;;;;;;;;;;
7;BANEGA;"41'50""";4,364;2,503;970;0,72;;0,40;;0,03;8;23.76;0,67;0,26;0,06;0,01;
9;HIGUAIN;"11'22""";1,043;587;175;0,92;;0,62;;0,14;2;24.84;0,77;0,18;0,04;0,01;
22;PAVON;"20'08""";1,961;1,118;373;0,85;;0,51;;0,06;10;30.38;0,77;0,16;0,04;0,02;0,01
