23;CABALLERO;"96'15""";4,576;1,823;1,474;;;;1;19.94;0,92;0,07;0,01;;
2;MERCADO;"96'15""";9,247;3,488;3,501;0,29;0,09;0,03;34;29.92;0,72;0,22;0,04;0,02;
3;TAGLIAFICO;"96'15""";10,063;3,988;3,533;0,27;0,08;0,03;26;27.68;0,66;0,27;0,06;0,01;
8;ACUNA;"96'15""";9,865;3,774;3,482;0,45;0,19;0,01;33;30.38;0,68;0,25;0,05;0,01;0,01
10;MESSI;"96'15""";7,624;3,217;2,651;0,72;0,29;0,04;29;27.43;0,84;0,11;0,04;0,01;
13;MEZA;"96'15""";9,824;3,785;3,664;0,60;0,26;0,03;41;28.37;0,70;0,22;0,06;0,02;
14;MASCHERANO;"96'15""";9,458;3,66;3,952;0,41;0,07;;33;25.56;0,67;0,27;0,04;0,02;
15;E. PEREZ;"69'47""";8,07;3,172;2,988;0,47;0,13;0,01;27;26.28;0,60;0,31;0,07;0,02;
17;OTAMENDI;"96'15""";10,04;3,9;3,74;0,21;0,06;0,03;28;27.90;0,65;0,28;0,05;0,02;
18;SALVIO;"57'41""";6,519;2,306;2,583;0,52;0,23;0,02;30;32.62;0,63;0,27;0,06;0,03;0,01
19;AGUERO;"55'31""";5,738;2,156;2,228;0,80;0,43;0,11;24;27.43;0,68;0,24;0,05;0,02;0,01
;;;;;;;;;;;;;;;
9;HIGUAIN;"40'44""";3,561;1,573;1,138;0,73;0,39;0,09;11;26.28;0,76;0,19;0,04;0,01;
21;DYBALA;"26'28""";2,878;1,41;873;0,59;0,31;0,07;8;22.86;0,64;0,28;0,06;0,02;
22;PAVON;"38'34""";3,236;1,36;968;0,64;0,35;0,03;15;32.40;0,77;0,18;0,03;0,01;0,01
